Total 08 - ITAJAÍ 01/2018 e-ProcV2;448;703;610;49;173;4799
09 - JARAGUÁ DO SUL
SCJAR01F - Juízo Federal da 1ª VF de Jaraguá do Sul;7;18;10;11;21;226
SCJAR01S - Juízo Substituto da 1ª VF de Jaraguá do Sul;4;21;16;5;17;230
SCJAR02F - Juízo Federal da 2ª VF de Jaraguá do Sul;94;144;103;0;50;1019
SCJAR02S - Juízo Substituto da 2ª VF de Jaraguá do Sul;95;114;137;0;114;1126
SCJARCEMA - CENTRAL DE MANDADOS - JARAGUÁ DO SUL;1;1;0;0;0;1
Total 09 - JARAGUÁ DO SUL 01/2018 e-ProcV2;201;298;266;16;202;2602
10 - SÃO MIGUEL DO OESTE
SCSMO01F - Juízo Federal da 1ª VF de São Miguel do Oeste;59;118;39;6;80;939
SCSMO01S - Juízo Substituto da 1ª VF de São Miguel do Oeste;46;121;107;9;63;945
Total 10 - SÃO MIGUEL DO OESTE 01/2018 e-ProcV2;105;239;146;15;143;1884
11 - CAÇADOR
SCCAC01F - Juízo Federal da 1ª VF de Caçador;130;105;27;21;203;1081
SCCAC01S - Juízo Substituto da 1ª VF de Caçador;147;90;54;27;212;1099
Total 11 - CAÇADOR 01/2018 e-ProcV2;277;195;81;48;415;2180
12 - CONCÓRDIA
SCCON01F - Juízo Federal da 1ª VF de Concórdia;50;80;15;4;90;405
SCCON01S - Juízo Substituto da 1ª VF de Concórdia;68;86;17;3;76;414
Total 12 - CONCÓRDIA 01/2018 e-ProcV2;118;166;32;7;166;819
13 - RIO DO SUL
SCRSL01F - Juízo Federal da 1ª VF de Rio do Sul;57;91;30;16;164;583
SCRSL01S - Juízo Substituto da 1ª VF de Rio do Sul;64;107;27;9;195;630
SCRSLUI02F - Juízo Federal da 2ª Unidade de Apoio Itinerante em Rio do Sul;0;6;19;2;11;213
SCRSLUI02S - Juízo Substituto da 2ª Unidade de Apoio Itinerante em Rio do Sul;0;5;16;0;6;217
SCRSLUI01F - Juízo Federal da 1ª Unidade de Apoio Itinerante em Rio do Sul;0;8;10;0;37;207
SCRSLUI01S - Juízo Substituto da 1ª Unidade de Apoio Itinerante em Rio do Sul;0;9;6;2;31;209
Total 13 - RIO DO SUL 01/2018 e-ProcV2;121;226;108;29;444;2059
14 - MAFRA
SCMFA01F - Juízo Federal da 1ª VF de Mafra;33;32;46;24;25;435
SCMFA01S - Juízo Substituto da 1ª VF de Mafra;30;37;24;47;70;427
Total 14 - MAFRA 01/2018 e-ProcV2;63;69;70;71;95;862
15 - BRUSQUE
SCBQE01F - Juízo Federal da 1ª VF de Brusque;72;25;65;47;2;617
SCBQE01S - Juízo Substituto da 1ª VF de Brusque;63;32;76;37;2;588
Total 15 - BRUSQUE 01/2018 e-ProcV2;135;57;141;84;4;1205
16 - LAGUNA
SCLGA01F - Juízo Federal da 1ª VF de Laguna;81;42;58;39;52;857
SCLGA01S - Juízo Substituto da 1ª VF de Laguna;74;37;51;27;44;781
Total 16 - LAGUNA 01/2018 e-ProcV2;155;79;109;66;96;1638
19 - VIDEIRA - CAÇADOR
SCCACUI01F - Juízo Federal da 1ª Unidade de Apoio Itinerante em Caçador;0;8;0;0;17;134
SCCACUI01S - Juízo Substituto da 1ª Unidade de Apoio Itinerante em Caçador;0;6;6;0;11;131
SCCACUI02F - Juízo Federal da 2ª Unidade de Apoio Itinerante em Caçador;0;4;6;0;9;132
SCCACUI02S - Juízo Substituto da 2ª Unidade de Apoio Itinerante em Caçador;0;4;5;0;10;121
Total 19 - VIDEIRA - CAÇADOR 01/2018 e-ProcV2;0;22;17;0;47;518
Total 01/2018 e-ProcV2;4606;5981;4155;1943;4799;51786
02/2018
00 - FLORIANÓPOLIS
SCFLP02F - Juízo Federal da 2ª VF de Florianópolis;14;23;35;20;51;221
SCFLP02S - Juízo Substituto da 2ª VF de Florianópolis;6;23;3;62;67;223
SCFLP03F - Juízo Federal da 3ª VF de Florianópolis;16;15;22;83;26;237
SCFLP03S - Juízo Substituto da 3ª VF de Florianópolis;6;9;17;45;27;205
SCFLP04F - Juízo Federal da 4ª VF de Florianópolis;13;25;11;35;18;300
SCFLP04S - Juízo Substituto da 4ª VF de Florianópolis;17;24;32;38;28;325
SCFLP08F - Juízo Federal da 8ª VF de Florianópolis;92;176;139;1;83;681
SCFLP08S - Juízo Substituto da 8ª VF de Florianópolis;83;122;131;0;93;677
SCFLPCEMA - CENTRAL DE MANDADOS - FLORIANÓPOLIS;0;0;0;0;0;1
SCFLP05F - Juízo Federal da 5ª VF de Florianópolis;91;121;128;119;174;932
SCFLP05S - Juízo Substituto da 5ª VF de Florianópolis;79;130;121;93;118;881
SCFLPTR01A - Gab. Juiz Federal JULIO GUILHERME BEREZOSKI SCHATTSCHNEIDER (SC-1A);0;0;0;0;0;1
SCFLPCEJUA - JUÍZO A DO CEJUSCON DE FLORIANÓPOLIS;0;0;0;1;0;373
Total 00 - FLORIANÓPOLIS 02/2018 e-ProcV2;417;668;639;497;685;5057
01 - JOINVILLE
SCJOI04F - Juízo Federal da 4ª VF de Joinville;176;140;88;33;204;2009
SCJOI04S - Juízo Substituto da 4ª VF de Joinville;161;171;150;77;173;2125
SCJOI03F - Juízo Federal da 3ª VF de Joinville;179;216;162;12;24;1306
SCJOI03S - Juízo Substituto da 3ª VF de Joinville;175;210;205;16;20;1380
SCJOICEMA - CENTRAL DE MANDADOS - JOINVILLE;1;1;0;0;0;0
SCJOI06F - Juízo Federal da 6ª VF de Joinville;0;0;0;0;0;1
Total 01 - JOINVILLE 02/2018 e-ProcV2;692;738;605;138;421;6821
02 - CHAPECÓ
SCCHA01F - Juízo Federal da 1ª VF de Chapecó;3;6;7;7;1;118
SCCHA01S - Juízo Substituto da 1ª VF de Chapecó;5;3;2;10;9;124
SCCHA02F - Juízo Federal da 2ª VF de Chapecó;7;19;6;25;16;142
